Año;Mes;Puerto;Subgrupo;Cód Arancelario Mercancía;Descripción Cód Arancelario Mercancía;Operación;País Origen;Puerto Origen;Pais Destino;Puerto Destino;Forma Presentación;Tipo de Navegación;Tipo de Territorio;Toneladas
2020;dic;ESTACA;Asfalto;2714A;Betunes y asfaltos naturales.;Cargadas;ESPAÑA;ESTACA;ESPAÑA;CRISTIANOS;Mercancía General;Cabotaje Tenerife;Canarias;156
2020;dic;ESTACA;Asfalto;2714A;Betunes y asfaltos naturales.;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;156
2020;dic;ESTACA;Automóviles y sus piezas;8703E;Turismos, No Eléctr. o Híbr. hasta 2,5 Ton, nuevos;Cargadas;ESPAÑA;ESTACA;ESPAÑA;CRISTIANOS;Mercancía General;Cabotaje Tenerife;Canarias;125,05
2020;dic;ESTACA;Automóviles y sus piezas;8703E;Turismos, No Eléctr. o Híbr. hasta 2,5 Ton, nuevos;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;59,88
2020;dic;ESTACA;Automóviles y sus piezas;8703I;Turismos, No Eléctr. o Híbr. > 2,5 Ton, nuevos;Cargadas;ESPAÑA;ESTACA;ESPAÑA;CRISTIANOS;Mercancía General;Cabotaje Tenerife;Canarias;11,13
2020;dic;ESTACA;Automóviles y sus piezas;8704B;Vehículos Automóviles Trans. hasta 2,5 Ton, nuevos;Cargadas;ESPAÑA;ESTACA;ESPAÑA;CRISTIANOS;Mercancía General;Cabotaje Tenerife;Canarias;0
2020;dic;ESTACA;Automóviles y sus piezas;8704B;Vehículos Automóviles Trans. hasta 2,5 Ton, nuevos;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;0
2020;dic;ESTACA;Automóviles y sus piezas;4011;NEUMATICOS NUEVOS DE CAUCHO;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;1
2020;dic;ESTACA;Automóviles y sus piezas;8711;MOTOCICLETAS (INCLUSO CON PEDA;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;0,5
2020;dic;ESTACA;Cemento y clinker;2523A;Cementos hidráulicos, envasados (incluidos los cem;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;190,6
2020;dic;ESTACA;Cereales y sus harinas;1101;HARINA DE TRIGO Y DE MORCAJO O;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;43,3
2020;dic;ESTACA;Chatarras de hierro;7204;DESPERDICIOS Y DESECHOS, DE FU;Cargadas;ESPAÑA;ESTACA;ESPAÑA;CRISTIANOS;Mercancía General;Cabotaje Tenerife;Canarias;20,09
2020;dic;ESTACA;Frutas, hortalizas y legumbres;803;PLÁTANOS(BANANAS), INCLUIDOS;Cargadas;ESPAÑA;ESTACA;ESPAÑA;CRISTIANOS;Mercancía General;Cabotaje Tenerife;Canarias;340
2020;dic;ESTACA;Frutas, hortalizas y legumbres;804;DATILES, HIGOS, PIQAS (ANANAS);Cargadas;ESPAÑA;ESTACA;ESPAÑA;CRISTIANOS;Mercancía General;Cabotaje Tenerife;Canarias;174
2020;dic;ESTACA;Frutas, hortalizas y legumbres;812;FRUTOS CONSERVADOS PROVISIONAL;Descargadas;ESPAÑA;CRISTIANOS;ESPAÑA;ESTACA;Mercancía General;Cabotaje Tenerife;Canarias;64
